類型,粉專名稱,網址
基準粉專,林業及自然保育署屏東分署,https://www.facebook.com/Pingtung.Branch.FANCA/
林保署體系,林業及自然保育署,https://www.facebook.com/FANCA.Taiwan/
林保署體系,林業及自然保育署臺東分署,https://www.facebook.com/TaitungForestGov
林保署體系,林業及自然保育署臺中分署,https://www.facebook.com/p/%E6%9E%97%E6%A5%AD%E5%8F%8A%E8%87%AA%E7%84%B6%E4%BF%9D%E8%82%B2%E7%BD%B2%E8%87%BA%E4%B8%AD%E5%88%86%E7%BD%B2-100064182631791/
林保署體系,林業及自然保育署嘉義分署,https://www.facebook.com/chiayi.fanca/
林保署體系,林業及自然保育署花蓮分署,https://www.facebook.com/hualien.forest.gov.tw
林保署體系,林業保育署宜蘭分署,https://www.facebook.com/p/%E6%9E%97%E6%A5%AD%E4%BF%9D%E8%82%B2%E7%BD%B2-%E5%AE%9C%E8%98%AD%E5%88%86%E7%BD%B2-61576367156985/
林保署體系,阿里山林業鐵路及文化資產管理處Alishan Forest Railway and Cultural Heritage Office,https://www.facebook.com/AlishanForestRailway.Taiwan
林保署體系,林業保育署航測及遙測分署-360 Face,https://www.facebook.com/asrs.gov.tw/
屏東分署下轄,林後四林平地森林園區,https://www.facebook.com/linhousihlin
屏東分署下轄,雙流國家森林遊樂區,https://www.facebook.com/shuangliou.forest/
屏東分署下轄,墾丁國家森林遊樂區,https://www.facebook.com/ktforestarea/
屏東分署下轄,藤枝國家森林遊樂區,https://www.facebook.com/Tengjhih2021
屏東分署下轄,雙流自然教育中心,https://www.facebook.com/SLNC123/
屏東縣旅遊粉專,i屏東～愛屏東,https://www.facebook.com/ipingtung
屏東縣旅遊粉專,屏東go好玩-屏東縣政府交通旅遊處,https://www.facebook.com/PINGTUNGTRIP
屏東縣旅遊粉專,大鵬灣國家風景區管理處 Dapeng Bay NSA,https://www.facebook.com/dbnsa
